Level,Dimension,log10_alpha,log10_mass_GeV,log10_wavelength_meters,log10_N_weyl
0,0,0.0,2.2408083291421006,-17.945621859005247,0.0
1,1,-1.308197504272075,2.0318206888921218,-17.73663421875527,0.0
2,2,-1.5171851445220537,1.8228330486421431,-17.52764657850529,0.0
3,3,-1.7261727847720325,1.6138454083921643,-17.31865893825531,0.0
4,5,-2.14414806527199,1.1958701278922068,-16.900683657755355,1.5440680443502757
5,8,-2.7711109860219265,0.5689072071422705,-16.273720737005416,2.4771212547196626
6,13,-3.8160491872718203,-0.4760309941076235,-15.228782535755524,3.3569814009931314
7,21,-5.48795030927165,-2.1479321161074534,-13.556881413755693,4.2024610706294
8,34,-8.204789632521374,-4.8647714393571775,-10.84004209050597,5.044029909946466
9,55,-12.593530077770929,-9.25351188460673,-6.451301645256416,5.88124766976011
10,89,-19.699109846270208,-16.35909165310601,0.6542781232428627,6.717991113601274
11,144,-31.19343006001904,-27.85341186685484,12.148598336991695,7.554121216722416
12,233,-49.793330042267144,-46.45331184910295,30.748498319239808,8.390186230677866
13,377,-79.8875502382641,-76.5475320450999,60.842718515236754,9.226162716163946
14,610,-128.58167041650913,-125.24165222334494,109.5368386934818,10.062129912426515
15,987,-207.37001079075114,-204.02999259758693,188.32517906772378,10.89808424123816
16,1597,-334.85247134323816,-331.51245315007395,315.8076396202108,11.73403722587516
17,2584,-541.1232722699672,-537.783254076803,522.0784405469399,12.569988335793626
18,4181,-874.8765337491833,-871.5365155560191,855.831702026156,13.405939250209363
19,6765,-1414.9005961551284,-1411.5605779619643,1395.855764432101,14.241889891251198
20,10946,-2288.67792004029,-2285.3379018471255,2269.6330883172623,15.077840503803353
21,17711,-3702.479306331396,-3699.1392881382317,3683.4344746083684,15.913791076478768
22,28657,-5990.0580165076635,-5986.7179983145,5971.013184784637,16.749741644999474
23,46368,-9691.438112975036,-9688.098094781872,9672.393281252009,17.585692207702685
24,75025,-15680.396919618679,-15677.056901425514,15661.352087895651,18.421642769799835
25,121393,-25370.735822729697,-25367.395804536533,25351.690991006668,19.25759333104825
26,196418,-41050.03353248435,-41046.69351429118,41030.98870076132,20.093543892208245
27,317811,-66419.67014535003,-66416.33012715686,66400.625313627,20.929494453244416
28,514229,-107468.60446797036,-107465.2644497772,107449.55963624733,21.765445014267687
29,832040,-173887.17540345635,-173883.8353852632,173868.13057173335,22.601395575272893
30,1346269,-281354.6806615627,-281351.34064336953,281335.6358298397,23.437346136276215
31,2178309,-455240.75685515505,-455237.4168369619,455221.712023432,24.2732966972769
32,3524578,-736594.3383068537,-736590.9982886604,736575.2934751306,25.109247258277314
33,5702887,-1191833.9959521445,-1191830.6559339515,1191814.9511204215,25.94519781927734
34,9227465,-1928427.2350491341,-1928423.895030941,1928408.1902174111,26.78114838027733
35,14930352,-3120260.131791415,-3120256.791773222,3120241.086959692,27.61709894127726
36,24157817,-5048686.267630685,-5048682.927612492,5048667.222798962,28.453049502277185
37,39088169,-8168945.300212236,-8168941.960194043,8168926.255380513,29.289000063277104
38,63245986,-13217630.468633058,-13217627.128614865,13217611.423801335,30.12495062427702
39,102334155,-21386574.66963543,-21386571.329617236,21386555.624803707,30.960901185276935
40,165580141,-34604204.039058626,-34604200.69904043,34604184.994226895,31.79685174627685
41,267914296,-55990777.60948419,-55990774.26946599,55990758.56465246,32.63280230727676
42,433494437,-90594980.54933295,-90594977.20931476,90594961.50450124,33.46875286827668
43,701408733,-146585757.05960727,-146585753.71958905,146585738.0147755,34.30470342927659
44,1134903170,-237180736.50973037,-237180733.16971216,237180717.46489862,35.14065399027651
45,1836311903,-383766492.47012776,-383766489.1301096,383766473.42529607,35.976604551276424
46,2971215073,-620947227.8806483,-620947224.54063,620947208.8358165,36.81255511227634
47,4807526976,-1004713719.2515662,-1004713715.9115479,1004713700.2067344,37.648505673276254
48,7778742049,-1625660946.0330045,-1625660942.6929865,1625660926.988173,38.484456234276166
49,12586269025,-2630374664.185361,-2630374660.8453426,2630374645.140529,39.320406795276085
50,20365011074,-4256035609.1191554,-4256035605.779137,4256035590.0743237,40.156357356276
51,32951280099,-6886410272.205306,-6886410268.865288,6886410253.160474,40.992307917275916
52,53316291173,-11142445880.225252,-11142445876.885233,11142445861.18042,41.82825847827583
53,86267571272,-18028856151.33135,-18028856147.991333,18028856132.28652,42.66420903927575
54,139583862445,-29171302030.45739,-29171302027.117374,29171302011.41256,43.50015960027566
55,225851433717,-47200158180.68953,-47200158177.34951,47200158161.6447,44.33611016127557
56,365435296162,-76371460210.04771,-76371460206.70769,76371460191.00287,45.17206072227549
57,591286729879,-123571618389.63803,-123571618386.298,123571618370.59319,46.0080112832754
58,956722026041,-199943078598.58655,-199943078595.24652,199943078579.54172,46.84396184427532
59,1548008755920,-323514696987.1253,-323514696983.78534,323514696968.0805,47.67991240527523
60,2504730781961,-523457775584.6127,-523457775581.2727,523457775565.5679,48.51586296627515
61,4052739537881,-846972472570.6388,-846972472567.2987,846972472551.5939,49.35181352727506
62,6557470319842,-1370430248154.152,-1370430248150.8123,1370430248135.1074,50.18776408827498
63,10610209857723,-2217402720723.692,-2217402720720.352,2217402720704.6475,51.02371464927489
64,17167680177565,-3587832968876.7446,-3587832968873.405,3587832968857.7,51.859665210274805
65,27777890035288,-5805235689599.338,-5805235689595.997,5805235689580.292,52.695615771274724
66,44945570212853,-9393068658474.984,-9393068658471.645,9393068658455.94,53.531566332274636
67,72723460248141,-15198304348073.223,-15198304348069.883,15198304348054.178,54.367516893274555
68,117669030460994,-24591373006547.105,-24591373006543.766,24591373006528.062,55.20346745427447
69,190392490709135,-39789677354619.234,-39789677354615.89,39789677354600.19,56.039418015274386
70,308061521170129,-64381050361165.234,-64381050361161.89,64381050361146.19,56.8753685762743
71,498454011879264,-104170727715783.36,-104170727715780.03,104170727715764.33,57.71131913727421
72,806515533049393,-168551778076947.5,-168551778076944.16,168551778076928.44,58.54726969827413
73,1304969544928657,-272722505792729.75,-272722505792726.4,272722505792710.7,59.38322025927404
74,2111485077978050,-441274283869676.2,-441274283869672.8,441274283869657.1,60.21917082027396
75,3416454622906707,-713996789662404.9,-713996789662401.5,713996789662385.8,61.05512138127387
76,5527939700884757,-1155271073532079.8,-1155271073532076.5,1155271073532060.8,61.89107194227379
77,8944394323791464,-1869267863194483.5,-1869267863194480.2,1869267863194464.5,62.7270225032737
78,14472334024676221,-3024538936726562.0,-3024538936726559.0,3024538936726543.5,63.56297306427362
79,23416728348467685,-4893806799921045.0,-4893806799921042.0,4893806799921026.0,64.39892362527353
80,37889062373143906,-7918345736647606.0,-7918345736647603.0,7918345736647587.0,65.23487418627344
81,61305790721611591,-1.2812152536568652e+16,-1.2812152536568648e+16,1.2812152536568632e+16,66.07082474727336
82,99194853094755497,-2.0730498273216256e+16,-2.0730498273216252e+16,2.0730498273216236e+16,66.90677530827328
83,160500643816367088,-3.3542650809784908e+16,-3.3542650809784904e+16,3.354265080978489e+16,67.74272586927319
